name,country,vertical,db_status,has_url
Altera Finance,Unknown,Unknown,FOUND,True
Altitud,[[méxico]],745ca1953642,FOUND,True
Altscore,Desconocido,Crédito Digital 💰,FOUND,True
Altum,Unknown,Unknown,FOUND,True
Alvs,[[méxico]],745ca1953642,FOUND,True
Alymente,Unknown,Unknown,FOUND,False
Alza,Desconocido,Paytech 💳,FOUND,True
Americana,Unknown,Unknown,FOUND,True
Amfi,Desconocido,Crowdfunding 👫,FOUND,True
Amigo Paq,Desconocido,Crédito Digital 💰,FOUND,True
Amo Delivery,Unknown,Unknown,FOUND,True
Anbetec,Desconocido,Paytech 💳,FOUND,True
Andro,Desconocido,Activos Digitales 👾,FOUND,True
Antecipag,Unknown,Unknown,FOUND,True
Anticipate,Unknown,Unknown,FOUND,True
Anticipo,Brasil,Anticipo,FOUND,True
Anzi,Desconocido,Activos Digitales 👾,FOUND,True
Ao3,Unknown,Unknown,FOUND,True
Api Overview,Unknown,Unknown,FOUND,False
Api Reference,Unknown,Unknown,FOUND,True
Api Solutions,Unknown,Unknown,FOUND,True
Api,Unknown,Unknown,FOUND,True
Aplazo,Desconocido,Crédito Digital 💰,FOUND,True
App Crédito,Unknown,Unknown,FOUND,True
Appay,Unknown,Unknown,FOUND,False
Appmax,Desconocido,Paytech 💳,FOUND,True
Appopay,Desconocido,Paytech 💳,FOUND,True
Approbe,Desconocido,Crédito Digital 💰,FOUND,True
Aprecia Financiera,[[méxico]],745ca1953642,FOUND,True
Aptare,Unknown,Unknown,FOUND,False
Apurata,Desconocido,Crédito Digital 💰,FOUND,True
Arcs,Unknown,Unknown,FOUND,True
Arcus,Desconocido,Paytech 💳,FOUND,True
Areas,Unknown,Unknown,FOUND,True
Arias,Unknown,Unknown,FOUND,True
Arkangeles,Desconocido,Crowdfunding 👫,FOUND,True
Arma Tu Vaca,Unknown,Unknown,FOUND,True
Arrenda,Desconocido,Crédito Digital 💰,FOUND,True
Asamep,Unknown,Unknown,FOUND,True
Asap,Unknown,Unknown,FOUND,True
Asas,Unknown,Unknown,FOUND,True
Aseguro El Salvador,Unknown,Unknown,FOUND,True
Asistensi,Unknown,Unknown,FOUND,True
Aspiria,[[méxico]],745ca1953642,FOUND,True
Assertiva,Unknown,Unknown,FOUND,True
Aston,Desconocido,BFM 👔,FOUND,True
Astropay,Desconocido,Paytech 💳,FOUND,True
Atena,Unknown,Unknown,FOUND,True
Athemos,Unknown,Unknown,FOUND,True
Atlashome,Unknown,Unknown,FOUND,True
Atomic Fund,Unknown,Unknown,FOUND,True
Atrato,Desconocido,Atrato,FOUND,True
Atria,[[méxico]],745ca1953642,FOUND,True
Auco,Unknown,Unknown,FOUND,True
Auditar,Unknown,Unknown,FOUND,True
Autentify,Unknown,Unknown,FOUND,True
Author,Unknown,Unknown,FOUND,True
Authors,Unknown,Unknown,FOUND,True
Auto-Render Extension,Unknown,Unknown,FOUND,True
Autogo,Unknown,Unknown,FOUND,True
Automated Help,Unknown,Unknown,FOUND,False
Autority,Unknown,Unknown,FOUND,True
Avacréditos,Unknown,Unknown,FOUND,True
Avance,Unknown,Unknown,FOUND,True
Avante,Desconocido,Crédito Digital,FOUND,True
Avanzo,[[México]],Avanzo,FOUND,True
Avapos,Unknown,Unknown,FOUND,True
Avista,[[Colombia]],Crédito Digital ??,FOUND,True
Aviva,Desconocido,Crédito Digital ??,FOUND,True
Avizz,Unknown,Unknown,FOUND,False
Axify,Desconocido,Paytech ??,FOUND,True
Axioma Connect,Unknown,Unknown,FOUND,True
Ayudate,[[méxico]],745ca1953642,FOUND,True
Azify,Unknown,Unknown,FOUND,True
Azos,Desconocido,Insurtech ??,FOUND,True
Azura,Unknown,Unknown,FOUND,False
B2Gether,Desconocido,Crédito Digital ??,FOUND,True
B89,Desconocido,Neobancos ??,FOUND,True
Baasik,Unknown,Unknown,FOUND,True
Baaskit,Desconocido,Paytech ??,FOUND,True
Baldecash,Unknown,Unknown,FOUND,True
Bamba,Desconocido,Paytech ??,FOUND,True
Bamboo,Desconocido,Crédito Digital ??,FOUND,True
Banca Móvil Bac,Unknown,Unknown,FOUND,True
Banca.Me,Desconocido,Crédito Digital ??,FOUND,True
Bancard,Unknown,Unknown,FOUND,False
Bancaribe,Unknown,Unknown,FOUND,True
Banco Bmg,Desconocido,Neobancos ??,FOUND,True
Banco Boreal,Unknown,Unknown,FOUND,True
Banco Inmobiliario,Unknown,Unknown,FOUND,True
Banco Ourinvest,Unknown,Unknown,FOUND,True
Bancobia,Unknown,Unknown,FOUND,True
Bancoin,Unknown,Unknown,FOUND,True
Bancom,Desconocido,Neobancos ??,FOUND,True
Bancompara,Desconocido,Crédito Digital ??,FOUND,True
Band Scales,Unknown,Unknown,FOUND,True
Banesco,Unknown,Unknown,FOUND,True
Banfico Tecnologia,Unknown,Unknown,FOUND,False
Bankme,Desconocido,Crédito Digital 💰,FOUND,True
Bankoff,Unknown,Unknown,FOUND,False
Bankrisk,Unknown,Unknown,FOUND,False
Banqi,[[Brasil]],Paytech ð³,FOUND,True
Banza,Desconocido,WealthTech 📈,FOUND,True
Basic Api,Unknown,Unknown,FOUND,True
Baubap,Desconocido,Crédito Digital 💰,FOUND,True
Bayport,Desconocido,Crédito Digital 💰,FOUND,True
Bdigital,Desconocido,CrÃ©dito Digital ð°,FOUND,True
Bdm Bank,Unknown,Unknown,FOUND,True
Bdv,Unknown,Unknown,FOUND,True
Become Digital,Unknown,Unknown,FOUND,False
Beetransfer,Desconocido,Paytech 💳,FOUND,True
Belozfi,Desconocido,Crédito Digital 💰,FOUND,True
Belvo,Desconocido,Open Finance 🔑,FOUND,True
Bem Fácil Digital,Unknown,Unknown,FOUND,True
Bemobi,Desconocido,Paytech 💳,FOUND,True
Bemovil,Unknown,Unknown,FOUND,True
Benchmark,Unknown,Unknown,FOUND,False
Benkin,Unknown,Unknown,FOUND,False
Benky,Unknown,Unknown,FOUND,True
Bepsa,Unknown,Unknown,FOUND,False
Bestcard,Unknown,Unknown,FOUND,True
Bestfy,Unknown,Unknown,FOUND,False
Betta,Unknown,Unknown,FOUND,True
Betterfly,Desconocido,Insurtech 🏆,FOUND,True
Betterplan,Desconocido,WealthTech 📈,FOUND,True
Bfs,Unknown,Unknown,FOUND,False
Bfsfromnode,Unknown,Unknown,FOUND,True
Bhub,Desconocido,BFM ??,FOUND,True
Bids,Unknown,Unknown,FOUND,False
Bien Bien,[[méxico]],745ca1953642,FOUND,True
Bilder,Unknown,Unknown,FOUND,False
Bilheteria Digital,Unknown,Unknown,FOUND,False
Billetera Banpro,Unknown,Unknown,FOUND,False
Billpocket,Unknown,Unknown,FOUND,False
Bin Thresholds,Unknown,Unknown,FOUND,False
Bineo,Desconocido,Neobancos 📲,FOUND,True
Bink,Desconocido,BFM 👔,FOUND,True
Bins,Unknown,Unknown,FOUND,False
Biocredit,Desconocido,PFM 💰,FOUND,True
Bit Capital,Unknown,Unknown,FOUND,False
Bitbase,Unknown,Unknown,FOUND,False
Bitcar,[[méxico]],745ca1953642,FOUND,True
Bitcoin Rd,Unknown,Unknown,FOUND,False
Bitfy,Unknown,Unknown,FOUND,False
Bitpoint,Desconocido,Activos Digitales 👾,FOUND,True
Bits And Pieces,Unknown,Unknown,FOUND,False
Bitso,Desconocido,Activos Digitales 👾,FOUND,True
Bitwolf,Unknown,Unknown,FOUND,False
Biyuyo,Unknown,Unknown,FOUND,False
Bizcapital,Desconocido,Crédito Digital 💰,FOUND,True
Bkcap Sas,Unknown,Unknown,FOUND,False
Blips,Desconocido,Crédito Digital 💰,FOUND,True
Block,Unknown,Unknown,FOUND,False
Blockbr,Unknown,Unknown,FOUND,False
Blockforce,Unknown,Unknown,FOUND,False
Blockful,Unknown,Unknown,FOUND,False
Blockpliance Inc,Unknown,Unknown,FOUND,False
Blooms,Desconocido,Crédito Digital 💰,FOUND,True
Bloxs,Unknown,Unknown,FOUND,True
Blz Bank,Unknown,Unknown,FOUND,True
Bmp,Desconocido,Crédito Digital ??,FOUND,True
Bn Móvil,Unknown,Unknown,FOUND,False
Bnka,Desconocido,Paytech 💳,FOUND,True
Boku,Unknown,Unknown,FOUND,True
Bold,Colombia,Paytech 💳,FOUND,True
Bolivia,Unknown,Unknown,FOUND,True
Bolsapp,[[méxico]],745ca1953642,FOUND,True
Bolsiyo,Desconocido,Paytech ??,FOUND,True
Bom Capital,Unknown,Unknown,FOUND,False
Bom Consórcio,Unknown,Unknown,FOUND,False
Bom Handling,Unknown,Unknown,FOUND,False
Boocs,Unknown,Unknown,FOUND,False
Boolfy,Unknown,Unknown,FOUND,False
Bora!Bank,Unknown,Unknown,FOUND,False
Bowpi,Unknown,Unknown,FOUND,False
Bps Pay,Unknown,Unknown,FOUND,False
Braaim,Unknown,Unknown,FOUND,False
Brick Seguros,Desconocido,Insurtech ??,FOUND,True
Brinta,Desconocido,Regtech ??,FOUND,True
Briq.Mx,[[méxico]],Crowdfunding ??,FOUND,True
Britech,Unknown,Unknown,FOUND,False
Brla Digital,Desconocido,Paytech ??,FOUND,True
Broadfactor,Unknown,Unknown,FOUND,False
Brosco,Unknown,Unknown,FOUND,False
Browser Compatibility,Unknown,Unknown,FOUND,False
Browser Support,Unknown,Unknown,FOUND,False
Browser,Unknown,Unknown,FOUND,False
Broxel,Desconocido,Paytech ??,FOUND,True
Brucke,[[méxico]],663f028b8d6f,FOUND,True
Brush Events,Unknown,Unknown,FOUND,False
Brücke,Desconocido,Paytech ??,FOUND,True
Bs2,Desconocido,Neobancos ??,FOUND,True
Bttech,Unknown,Unknown,FOUND,False
Buda,Unknown,Unknown,FOUND,False
Buenbit,[[Argentina]],Activos Digitales ??,FOUND,True
Bug Fixes,Unknown,Unknown,FOUND,False
Build,Unknown,Unknown,FOUND,True
Bunker,Desconocido,WealthTech ??,FOUND,True
Bursanet,Desconocido,WealthTech ??,FOUND,True
Busqo,Desconocido,Insurtech ??,FOUND,True
But Isn'T Throwing Bad,Unknown,Unknown,FOUND,False
Bvm12,Unknown,Unknown,FOUND,False
Bwg Capital,Unknown,Unknown,FOUND,False
Bxl,[[méxico]],745ca1953642,FOUND,True
Byte-Order Marks,Unknown,Unknown,FOUND,False
Bzero,[[méxico]],745ca1953642,FOUND,True
C-Pocket,Unknown,Unknown,FOUND,False
C6 Bank,Desconocido,Neobancos 📲,FOUND,True
Cacau,Unknown,Unknown,FOUND,False
Caccao,Desconocido,Paytech 💳,FOUND,True
Cala,Unknown,Unknown,FOUND,False
Caldeira Otc,Unknown,Unknown,FOUND,False
Cambia Fx,Unknown,Unknown,FOUND,False
Cambio Seguro,Unknown,Unknown,FOUND,False
Cambista,Unknown,Unknown,FOUND,False
Cambix,Unknown,Unknown,FOUND,False
Campo Capital,Unknown,Unknown,FOUND,False
Cannapag,Unknown,Unknown,FOUND,False
Cap Rate,Unknown,Unknown,FOUND,False
Capem,[[méxico]],745ca1953642,FOUND,True
Capim,Desconocido,Crédito Digital 💰,FOUND,True
Capital Empreendedor,Unknown,Unknown,FOUND,False
Capitaltay,[[méxico]],745ca1953642,FOUND,True
Capitaltech,[[méxico]],745ca1953642,FOUND,True
Capitaria,Desconocido,Activos Digitales 👾,FOUND,True
Captable,Desconocido,Crowdfunding 👫,FOUND,True
Capwise,Unknown,Unknown,FOUND,False
Cardda,Desconocido,BFM 👔,FOUND,True
Cardnet,Desconocido,Paytech 💳,FOUND,True
Cargaya,Desconocido,Paytech 💳,FOUND,True
Carteras Colectivas,Unknown,Unknown,FOUND,False
Cash Finanzas,Unknown,Unknown,FOUND,False
Cashclick,[[méxico]],745ca1953642,FOUND,True
Cashea,Unknown,Unknown,FOUND,False
Cashin,Brasil,Paytech 💳,FOUND,True
Cashpak,Desconocido,Paytech 💳,FOUND,True
Cashu,Desconocido,Crédito Digital 💰,FOUND,True
Cashway,Unknown,Unknown,FOUND,False
Castor,Desconocido,BFM 👔,FOUND,True
Cavca,Desconocido,Insurtech ??,FOUND,True
Cb International Bank,Unknown,Unknown,FOUND,False
Cdtiando,Unknown,Unknown,FOUND,False
Ceiba,Unknown,Unknown,FOUND,False
Celcoin,Desconocido,BFM ??,FOUND,True
Cellpay Digital,[[méxico]],745ca1953642,FOUND,True
Celya,Unknown,Unknown,FOUND,False
Cenit,Desconocido,BFM ??,FOUND,True
Ceptinel,Unknown,Unknown,FOUND,False
Certdox,Unknown,Unknown,FOUND,False
Cervieri Monsuarez,Unknown,Unknown,FOUND,False
Cevaldom,Unknown,Unknown,FOUND,False
Chain,Unknown,Unknown,FOUND,False
Chapacash,Unknown,Unknown,FOUND,False
Chaty,Unknown,Unknown,FOUND,False
Chinchin,Unknown,Unknown,FOUND,False
Chipax,Desconocido,BFM ??,FOUND,True
Chivo Wallet,Unknown,Unknown,FOUND,False
Chubb,Desconocido,Insurtech ??,FOUND,True
Cicada,Desconocido,WealthTech ??,FOUND,True
Cima Perú,Unknown,Unknown,FOUND,False
Cinko,Desconocido,Paytech ??,FOUND,True
Citrus Technology,Unknown,Unknown,FOUND,False
Citywallet,Unknown,Unknown,FOUND,False
Claro Pay,Desconocido,Paytech 💳,FOUND,True
Clasppay,Unknown,Unknown,FOUND,False
Clickpto,Unknown,Unknown,FOUND,False
Clinng,Unknown,Unknown,FOUND,False
Clinpays,Unknown,Unknown,FOUND,False
Clip,Desconocido,CloudWalk,FOUND,True
Clupp,Desconocido,Insurtech 🏆,FOUND,True
Cluster,Unknown,Unknown,FOUND,False
Cobre,Desconocido,Paytech 💳,FOUND,True
Cobru,Unknown,Unknown,FOUND,False
Code Contributors,Unknown,Unknown,FOUND,False
Cofinancer,Unknown,Unknown,FOUND,False
Coiban,Unknown,Unknown,FOUND,False
Coinchange,Unknown,Unknown,FOUND,False
Coink,Desconocido,Paytech 💳,FOUND,True
Colaboramed,Desconocido,Paytech ??,FOUND,True
Colektia,Desconocido,BFM ??,FOUND,True
Colibri,Desconocido,Paytech ??,FOUND,True
Collectpay,Unknown,Unknown,FOUND,False
Collision,Unknown,Unknown,FOUND,False
Colurs,Unknown,Unknown,FOUND,False
Combinations,Unknown,Unknown,FOUND,True
Comparabien,Desconocido,Insurtech ??,FOUND,True
Comparaonline,Desconocido,Insurtech ??,FOUND,False
Compatibility,Unknown,Unknown,FOUND,False
Comprarbitcoin,Unknown,Unknown,FOUND,False
Compropago,Desconocido,Paytech ??,FOUND,True
Con C De Confianza,[[méxico]],745ca1953642,FOUND,True
Con Cuper,[[méxico]],745ca1953642,FOUND,True
Concepts,Unknown,Unknown,FOUND,False
Conciflex,Unknown,Unknown,FOUND,False
Concil,Unknown,Unknown,FOUND,False
Concrédito,[[méxico]],745ca1953642,FOUND,True
Condoconta,d29492233673,BFM ??,FOUND,True
Condopay,Unknown,Unknown,FOUND,False
Conduit,Desconocido,Activos Digitales ??,FOUND,True
Confitico,Unknown,Unknown,FOUND,False
Conpay,Unknown,Unknown,FOUND,False
Consigamais,Unknown,Unknown,FOUND,False
Consige,Unknown,Unknown,FOUND,False
Conta Black,Unknown,Unknown,FOUND,False
Conta Simples,Desconocido,Paytech 💳,FOUND,True
Conta Split,Unknown,Unknown,FOUND,False
Contabilizei,Desconocido,BFM 👔,FOUND,True
Contafuturo,Desconocido,Crédito Digital 💰,FOUND,True
Contamais,Unknown,Unknown,FOUND,False
Contbank,Desconocido,Crédito Digital 💰,FOUND,True
Content Nodes,Unknown,Unknown,FOUND,False
Contents,Unknown,Unknown,FOUND,False
Contigo En Todo,Unknown,Unknown,FOUND,False
Contigo,Unknown,Unknown,FOUND,False
Contribute,Unknown,Unknown,FOUND,False
Contribution,Unknown,Unknown,FOUND,False
Contributors,Unknown,Unknown,FOUND,False
Controlate,Unknown,Unknown,FOUND,False
Coocho,Unknown,Unknown,FOUND,False
Copadi,Unknown,Unknown,FOUND,False
Copy-Tex Extension,Unknown,Unknown,FOUND,False
Coru,Desconocido,Crédito Digital,FOUND,True
Costa Rica,Unknown,Unknown,FOUND,False
Countfly,Unknown,Unknown,FOUND,False
Covalto,Desconocido,Neobancos 📲,FOUND,True
Covery,Desconocido,Insurtech 🏆,FOUND,True
Coztyc,Desconocido,Coztyc,FOUND,True
Crabi,Desconocido,Insurtech 🏆,FOUND,True
Crdc,Unknown,Unknown,FOUND,False
Crece Capital,Desconocido,Paytech 💳,FOUND,True
Crece Captal,Desconocido,Paytech 💳,FOUND,True
Crece,Unknown,Unknown,FOUND,False
Crecy,Desconocido,Activos Digitales 👾,FOUND,True
Cred Mex.,[[méxico]],745ca1953642,FOUND,True
Credhub,Unknown,Unknown,FOUND,False
Credi Solución,Unknown,Unknown,FOUND,False
Crediclub,Desconocido,Crédito Digital 💰,FOUND,True
Credicorp Capital,Desconocido,Crédito Digital 💰,FOUND,True
Credicuotas,Desconocido,Crédito Digital 💰,FOUND,True
Crediface,Unknown,Unknown,FOUND,False
Credifit,Unknown,Unknown,FOUND,False
Credigob,Unknown,Unknown,FOUND,False
Credihome By Loft,Desconocido,Crédito Digital 💰,FOUND,True
Credihome,Unknown,Unknown,FOUND,False
Credijusto,Desconocido,Crédito Digital 💰,FOUND,True
Crediko,Desconocido,Crédito Digital 💰,FOUND,True
Credilikeme,Desconocido,Crédito Digital 💰,FOUND,True
Credimejora By Nocnok,[[méxico]],745ca1953642,FOUND,True
Credimon,[[méxico]],745ca1953642,FOUND,True
Credimotion,[[méxico]],745ca1953642,FOUND,True
Credisfera,Unknown,Unknown,FOUND,False
Credismart,Unknown,Unknown,FOUND,False
Credisul,Unknown,Unknown,FOUND,False
Creditas,Desconocido,Crédito Digital 💰,FOUND,True
Creditea,Desconocido,Crédito Digital ??,FOUND,True
Crediteka,[[méxico]],745ca1953642,FOUND,True
Creditop,Desconocido,Crédito Digital ??,FOUND,True
Creditu,Unknown,Unknown,FOUND,True
Credituz,Desconocido,Crédito Digital ??,FOUND,True
Creditú,Desconocido,Crédito Digital ??,FOUND,True
Crediviva,Unknown,Unknown,FOUND,False
Credix,Desconocido,Activos Digitales ??,FOUND,True
Credmei,Desconocido,BFM ??,FOUND,True
Credpago,Desconocido,Insurtech 🏆,FOUND,True
Credseller,Unknown,Unknown,FOUND,False
Creizer,Desconocido,Creizer,FOUND,True
Cresium,Desconocido,BFM ??,FOUND,True
Crezcamos,Unknown,Unknown,FOUND,False
Creze,Desconocido,Crédito Digital ??,FOUND,True
Crezu,[[méxico]],745ca1953642,FOUND,True
Cripex,Unknown,Unknown,FOUND,False
Croem,Unknown,Unknown,FOUND,False
Crowder,Desconocido,Crowdfunding ??,FOUND,True
Crowdtech,Unknown,Unknown,FOUND,False
Crypto Engine,Unknown,Unknown,FOUND,False
Créditos De Libranza,Desconocido,Libélula - Todotix,FOUND,True
Cubo,Desconocido,Paytech 💳,FOUND,True
Culqi,Desconocido,Paytech 💳,FOUND,True
Culqui,Unknown,Unknown,FOUND,False
Culte,Unknown,Unknown,FOUND,False
Culttivo,Unknown,Unknown,FOUND,False
Cumbuca,Desconocido,Open Finance 🔑,FOUND,True
Cumpa,Unknown,Unknown,FOUND,False
Cumplo,Desconocido,Crédito Digital 💰,FOUND,True
Cuotéalo,Unknown,Unknown,FOUND,False
Curazao,Unknown,Unknown,FOUND,True
Curves,Unknown,Unknown,FOUND,False
Cusimay,Unknown,Unknown,FOUND,False
Custom Curves,Unknown,Unknown,FOUND,False
Custom Event Listeners,Unknown,Unknown,FOUND,False
Custom Help,Unknown,Unknown,FOUND,False
Custom Option Processing,Unknown,Unknown,FOUND,False
Cx-Credxpress,Unknown,Unknown,FOUND,False
D3-Array,Unknown,Unknown,FOUND,True
D3-Axis,Unknown,Unknown,FOUND,True
D3-Brush,Unknown,Unknown,FOUND,True
D3-Chord,Unknown,Unknown,FOUND,True
D3-Color,Unknown,Unknown,FOUND,True
D3-Contour,Unknown,Unknown,FOUND,True
D3-Delaunay,Unknown,Unknown,FOUND,False
D3-Dispatch,Unknown,Unknown,FOUND,False
D3-Drag,Unknown,Unknown,FOUND,False
D3-Dsv,Unknown,Unknown,FOUND,False
D3-Ease,Unknown,Unknown,FOUND,False
D3-Fetch,Unknown,Unknown,FOUND,False
D3-Force,Unknown,Unknown,FOUND,False
D3-Geo,Unknown,Unknown,FOUND,False
D3-Path,Unknown,Unknown,FOUND,False
D3-Polygon,Unknown,Unknown,FOUND,False
D3-Quadtree,Unknown,Unknown,FOUND,False
D3-Random,Unknown,Unknown,FOUND,False
D3-Scale-Chromatic,Unknown,Unknown,FOUND,False
D3-Scale,Unknown,Unknown,FOUND,False
D3-Selection,Unknown,Unknown,FOUND,False
D3-Timer,Unknown,Unknown,FOUND,False
D3-Zoom,Unknown,Unknown,FOUND,False
Dale Coopeuch,Desconocido,Paytech 💳,FOUND,True
Dale!,Desconocido,Paytech 💳,FOUND,True
Dando,Desconocido,Crédito Digital 💰,FOUND,True
Dapp,Desconocido,Paytech 💳,FOUND,True
Darwin Seguros,Desconocido,Insurtech 🏆,FOUND,True
Datamart,Desconocido,Open Finance 🔑,FOUND,True
Datanomik,Desconocido,Open Finance 🔑,FOUND,True
Daterra,Unknown,Unknown,FOUND,False
Davivienda,Unknown,Unknown,FOUND,False
Dbmenos,[[méxico]],745ca1953642,FOUND,True
Dcgg,Unknown,Unknown,FOUND,False
Debita Aí,Unknown,Unknown,FOUND,False
Dejamobile,Unknown,Unknown,FOUND,False
Delaunay.Coords,Unknown,Unknown,FOUND,False
Delaunay.Halfedges,Unknown,Unknown,FOUND,False
Delaunay.Hull,Unknown,Unknown,FOUND,True
Delaunay,Unknown,Unknown,FOUND,True
Delaunay.Triangles,Unknown,Unknown,FOUND,False
Delbre,Unknown,Unknown,FOUND,False
Deleted,Unknown,Unknown,FOUND,False
Deletescope,Unknown,Unknown,FOUND,False
Delt.Ai,Desconocido,Paytech 💳,FOUND,True
Density Estimation,Unknown,Unknown,FOUND,False
Desarrollo De Software,Desconocido,Wonka,FOUND,True
Destrava Aí,Unknown,Unknown,FOUND,False
Destácame,Desconocido,PFM 💰,FOUND,True
Detácame,Desconocido,Crédito Digital 💰,FOUND,True
Deuna! App,Desconocido,Paytech ??,FOUND,True
Develop,Unknown,Unknown,FOUND,False
Development,Unknown,Unknown,FOUND,False
Dexpay,Unknown,Unknown,FOUND,False
Dfs,Unknown,Unknown,FOUND,False
Dfsfromnode,Unknown,Unknown,FOUND,False
Dieselbank,Desconocido,Neobancos ??,FOUND,True
Digio,Desconocido,Neobancos ??,FOUND,True
Digital Assets Management,Desconocido,Orionx.com,FOUND,False
Digital Assets,Unknown,Unknown,FOUND,False
Digitales Guip Sa,Unknown,Unknown,FOUND,False
Digitra.Com,Desconocido,Activos Digitales ??,FOUND,True
Digitt,[[méxico]],Crédito Digital ??,FOUND,True
Diimo,Desconocido,BFM ??,FOUND,True
Diin Company,Unknown,Unknown,FOUND,False
Dilo,Unknown,Unknown,FOUND,False
Dinie,Desconocido,Crédito Digital 💰,FOUND,True
Display Error,Unknown,Unknown,FOUND,False
Display Help After Errors,Unknown,Unknown,FOUND,False
Display Help From Code,Unknown,Unknown,FOUND,False
Ditobanx,Desconocido,Activos Digitales 👾,FOUND,True
Diverging Scales,Unknown,Unknown,FOUND,False
Divibank,Desconocido,Paytech 💳,FOUND,True
Dividenz,Desconocido,Activos Digitales 👾,FOUND,True
Divify,Unknown,Unknown,FOUND,False
Divipay,Unknown,Unknown,FOUND,False
Divídelo,Unknown,Unknown,FOUND,False
Djiro,Unknown,Unknown,FOUND,False
Dlocal,Unknown,Unknown,FOUND,True
Dm10,Desconocido,Insurtech 🏆,FOUND,True
Do I Need It,Unknown,Unknown,FOUND,False
Do Payment,Desconocido,Paytech 💳,FOUND,True
Docket,Unknown,Unknown,FOUND,False
Dohub,Desconocido,Insurtech 🏆,FOUND,True
Dolarapp,Desconocido,Paytech 💳,FOUND,True
Domein,Unknown,Unknown,FOUND,False
Domitai,Unknown,Unknown,FOUND,False
Domus,Unknown,Unknown,FOUND,False
Doopla,Desconocido,Crowdfunding 👫,FOUND,True
Dootax,Unknown,Unknown,FOUND,False
Dopla.Mx,[[méxico]],745ca1953642,FOUND,True
Drag Events,Unknown,Unknown,FOUND,False
Drip,Desconocido,Crédito Digital 💰,FOUND,True
Druo,Desconocido,Paytech 💳,FOUND,True
Dsv2Dsv,Unknown,Unknown,FOUND,False
Dsv2Json,Unknown,Unknown,FOUND,False
Due,Desconocido,Paytech 💳,FOUND,True
Duemint,Desconocido,Regtech ⚙️,FOUND,True
Dunning,Unknown,Unknown,FOUND,False
Duopen,Unknown,Unknown,FOUND,False
Dx3,[[méxico]],745ca1953642,FOUND,True
Débito Direto,Unknown,Unknown,FOUND,False
E-Dinheiro,Unknown,Unknown,FOUND,False
E-Prepag,Unknown,Unknown,FOUND,False
E-Services,Unknown,Unknown,FOUND,False
Easyc,Unknown,Unknown,FOUND,False
Easycrédito,Desconocido,Crédito Digital 💰,FOUND,True
